Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2025-11-18,20:00,WCQ,Third round,Tue,Away,D,0.0,0.0,jm Jamaica,,,Leandro Bacuna,4-3-3,4-2-3-1,Iván Barton,Match Report,,Curacao
2025-11-13,20:00 (19:00),WCQ,Third round,Thu,Away,W,7.0,0.0,bm Bermuda,,1181.0,Leandro Bacuna,4-3-3,4-2-3-1,Tori Penso,Match Report,,Curacao
2025-10-14,19:00 (18:00),WCQ,Third round,Tue,Home,D,1.0,1.0,tt Trin & Tobago,,,Leandro Bacuna,4-3-3,5-4-1,César Arturo Ramos,Match Report,,Curacao
2025-10-10,19:00 (18:00),WCQ,Third round,Fri,Home,W,2.0,0.0,jm Jamaica,,,Leandro Bacuna,4-3-3,4-2-3-1,Julio César Luna,Match Report,,Curacao
2025-09-09,20:00 (19:00),WCQ,Third round,Tue,Home,W,3.0,2.0,bm Bermuda,,9474.0,Leandro Bacuna,4-3-3,4-2-3-1,Adonis Carrasco,Match Report,,Curacao
2025-09-05,20:00 (19:00),WCQ,Third round,Fri,Away,D,0.0,0.0,tt Trin & Tobago,,,Leandro Bacuna,3-4-3,4-4-2,Katia García,Match Report,,Curacao
2025-06-11,00:00 (17:00),WCQ,Second round,Wed,Away,W,5.0,1.0,ht Haiti,,1115.0,Leandro Bacuna,4-2-3-1,4-3-3,Steven Madrigal,Match Report,,Curacao
2025-06-06,19:30 (18:30),WCQ,Second round,Fri,Home,W,4.0,0.0,lc St. Lucia,,,Leandro Bacuna,4-2-3-1,5-4-1,José Torres,Match Report,,Curacao
2024-06-08,20:00 (19:00),WCQ,Second round,Sat,Away,W,2.0,0.0,aw Aruba,,,Eloy Room,3-4-3,4-4-2,César Arturo Ramos,Match Report,,Curacao
2024-06-06,08:30 (18:30),WCQ,Second round,Thu,Home,W,4.0,1.0,bb Barbados,,4254.0,Eloy Room,3-4-3,4-4-2,Iván Barton,Match Report,,Curacao
